tick address bitflip_pos qt_err will_recode curr_ecc next_ecc block_pos data_write data_rec fixed
3188 6065 0 0 False 1 -1 3 25987 6583 True
3214 3063 0 0 False 1 -1 1 18502 4846 True
3240 1526 0 0 False 1 -1 0 15784 3da8 True
3266 2520 0 0 False 1 -1 1 6255 186f True
3292 6476 0 0 False 1 -1 3 53551 d12f True
3318 1801 0 0 False 1 -1 0 37357 91ed True
3344 7791 0 0 False 1 -1 3 27633 6bf1 True
3370 4665 0 0 False 1 -1 2 37479 9267 True
3396 7494 0 0 False 1 -1 3 63888 f990 True
3422 131 0 0 False 1 -1 0 25721 6479 True
3448 2779 0 0 False 1 -1 1 55573 d915 True
3474 1562 0 0 False 1 -1 0 34263 85d7 True
3500 6259 0 0 False 1 -1 3 50513 c551 True
3526 7129 0 0 False 1 -1 3 3123 0c33 True
3552 410 0 0 False 1 -1 0 2395 095b True
3578 2997 0 0 False 1 -1 1 56343 dc17 True
3604 2658 0 0 False 1 -1 1 39397 99e5 True
3630 6330 0 0 False 1 -1 3 10337 2861 True
3656 4964 0 0 False 1 -1 2 51729 ca11 True
3682 1345 0 0 False 1 -1 0 2040 07f8 True
3708 4187 0 0 False 1 -1 2 52787 ce33 True
3734 722 0 0 False 1 -1 0 26044 65bc True
3760 4734 0 0 False 1 -1 2 57731 e183 True
3786 488 0 0 False 1 -1 0 9536 2540 True
3812 5787 0 0 False 1 -1 2 30854 7886 True
3838 3699 0 0 False 1 -1 1 47353 b8f9 True
3864 4949 0 0 False 1 -1 2 11474 2cd2 True
3890 6751 0 0 False 1 -1 3 27759 6c6f True
3916 7828 0 0 False 1 -1 3 36619 8f0b True
3942 3755 0 0 False 1 -1 1 25443 6363 True
3968 794 0 0 False 1 -1 0 28370 6ed2 True
3994 338 0 0 False 1 -1 0 61092 eea4 True
4020 5243 0 0 False 1 -1 2 41542 a246 True
4046 4669 0 0 False 1 -1 2 28099 6dc3 True
4072 4580 0 0 False 1 -1 2 24649 6049 True
4098 4959 0 0 False 1 -1 2 3397 0d45 True
4124 2547 0 0 False 1 -1 1 62675 f4d3 True
4150 405 0 0 False 1 -1 0 38010 947a True
4176 816 0 0 False 1 -1 0 41693 a2dd True
4202 2952 0 0 False 1 -1 1 54786 d602 True
4228 2479 0 0 False 1 -1 1 62087 f287 True
4254 3242 0 0 False 1 -1 1 39194 991a True
4280 636 0 0 False 1 -1 0 22632 5868 True
4306 4027 0 0 False 1 -1 2 10669 29ad True
4332 3322 0 0 False 1 -1 1 53008 cf10 True
4358 7709 0 0 False 1 -1 3 50942 c6fe True
4384 7198 0 0 False 1 -1 3 2446 098e True
4410 6826 0 0 False 1 -1 3 57648 e130 True
4436 4762 0 0 False 1 -1 2 46280 b4c8 True
4462 1254 0 0 False 1 -1 0 33643 836b True
4488 7940 0 0 False 1 -1 3 6179 1823 True
4514 7862 0 0 False 1 -1 3 53291 d02b True
4540 1925 0 0 False 1 -1 0 7001 1b59 True
4566 5912 0 0 False 1 -1 2 41864 a388 True
4592 5924 0 0 False 1 -1 2 19003 4a3b True
4618 5321 0 0 False 1 -1 2 55665 d971 True
4644 2831 0 0 False 1 -1 1 54634 d56a True
4670 5076 0 0 False 1 -1 2 31142 79a6 True
4696 2003 0 0 False 1 -1 1 34899 8853 True
4722 100 0 0 False 1 -1 0 43590 aa46 True
4748 7895 0 0 False 1 -1 3 44372 ad54 True
4774 5680 0 0 False 1 -1 2 15001 3a99 True
4800 4180 0 0 False 1 -1 2 41745 a311 True
4826 816 0 0 False 1 -1 0 37811 93b3 True
4852 4774 0 0 False 1 -1 2 14276 37c4 True
4878 2911 0 0 False 1 -1 1 4571 11db True
4904 5098 0 0 False 1 -1 2 56511 dcbf True
4930 4351 0 0 False 1 -1 2 1710 06ae True
4956 3278 0 0 False 1 -1 1 53164 cfac True
4982 141 0 0 False 1 -1 0 42804 a734 True
5008 2772 0 0 False 1 -1 1 54650 d57a True
5034 5955 0 0 False 1 -1 2 3104 0c20 True
5060 2657 0 0 False 1 -1 1 40981 a015 True
5086 6449 0 0 False 1 -1 3 11212 2bcc True
5112 1684 0 0 False 1 -1 0 8343 2097 True
5138 7857 0 0 False 1 -1 3 53782 d216 True
5164 2022 0 0 False 1 -1 1 59388 e7fc True
5190 3164 0 0 False 1 -1 1 40285 9d5d True
5216 4788 0 0 False 1 -1 2 39029 9875 True
5242 7157 0 0 False 1 -1 3 36117 8d15 True
5268 1026 0 0 False 1 -1 0 357 0165 True
5294 226 0 0 False 1 -1 0 54956 d6ac True
5320 5617 0 0 False 1 -1 2 50510 c54e True
5346 1021 0 0 False 1 -1 0 45426 b172 True
5372 552 0 0 False 1 -1 0 958 03be True
5398 6048 0 0 False 1 -1 3 43363 a963 True
5424 5112 0 0 False 1 -1 2 27639 6bf7 True
5450 4519 0 0 False 1 -1 2 11109 2b65 True
5476 5756 0 0 False 1 -1 2 24662 6056 True
5502 3760 0 0 False 1 -1 1 29836 748c True
5528 1521 0 0 False 1 -1 0 2262 08d6 True
5554 5140 0 0 False 1 -1 2 30135 75b7 True
5580 7803 0 0 False 1 -1 3 46487 b597 True
5606 5455 0 0 False 1 -1 2 4623 120f True
5632 2173 0 0 False 1 -1 1 16592 40d0 True
5658 746 0 0 False 1 -1 0 30195 75f3 True
5684 1258 0 0 False 1 -1 0 18220 472c True
5710 7451 0 0 False 1 -1 3 34399 865f True
5736 1153 0 0 False 1 -1 0 50259 c453 True
5762 4399 0 0 False 1 -1 2 7889 1ed1 True
5788 5778 0 0 False 1 -1 2 40521 9e49 True
5814 6633 0 0 False 1 -1 3 229 00e5 True
5840 2127 0 0 False 1 -1 1 41628 a29c True
5866 3503 0 0 False 1 -1 1 57381 e025 True
5892 1195 0 0 False 1 -1 0 46730 b68a True
5918 5192 0 0 False 1 -1 2 3709 0e7d True
5944 494 0 0 False 1 -1 0 42356 a574 True
5970 4387 0 0 False 1 -1 2 958 03be True
5996 1201 0 0 False 1 -1 0 20040 4e48 True
6022 1236 0 0 False 1 -1 0 56257 dbc1 True
6048 3064 0 0 False 1 -1 1 33829 8425 True
6074 3914 0 0 False 1 -1 1 19630 4cae True
6100 6972 0 0 False 1 -1 3 30388 76b4 True
6126 7407 0 0 False 1 -1 3 41019 a03b True
6152 227 0 0 False 1 -1 0 26397 671d True
6178 1261 0 0 False 1 -1 0 29584 7390 True
6204 2774 0 0 False 1 -1 1 33204 81b4 True
6230 1267 0 0 False 1 -1 0 2827 0b0b True
6256 4836 0 0 False 1 -1 2 25517 63ad True
6282 3847 0 0 False 1 -1 1 46002 b3b2 True
6308 1734 0 0 False 1 -1 0 32416 7ea0 True
6334 2895 0 0 False 1 -1 1 42835 a753 True
6360 6299 0 0 False 1 -1 3 62457 f3f9 True
6386 3109 0 0 False 1 -1 1 9781 2635 True
6412 6050 0 0 False 1 -1 3 61508 f044 True
6438 1064 0 0 False 1 -1 0 3618 0e22 True
6464 436 0 0 False 1 -1 0 44153 ac79 True
6490 7942 0 0 False 1 -1 3 34594 8722 True
6516 396 0 0 False 1 -1 0 24911 614f True
6542 6359 0 0 False 1 -1 3 60276 eb74 True
6568 7484 0 0 False 1 -1 3 45736 b2a8 True
6594 1045 0 0 False 1 -1 0 2176 0880 True
6620 7624 0 0 False 1 -1 3 23992 5db8 True
6646 1814 0 0 False 1 -1 0 43207 a8c7 True
6672 6834 0 0 False 1 -1 3 37102 90ee True
6698 843 0 0 False 1 -1 0 4445 115d True
6724 6621 0 0 False 1 -1 3 29884 74bc True
6750 2550 0 0 False 1 -1 1 11641 2d79 True
6776 6256 0 0 False 1 -1 3 41302 a156 True
6802 4451 0 0 False 1 -1 2 45746 b2b2 True
6828 1577 0 0 False 1 -1 0 44619 ae4b True
6854 5893 0 0 False 1 -1 2 10238 27fe True
6880 1787 0 0 False 1 -1 0 56560 dcf0 True
6906 4900 0 0 False 1 -1 2 32075 7d4b True
6932 6457 0 0 False 1 -1 3 62883 f5a3 True
6958 556 0 0 False 1 -1 0 35073 8901 True
6984 6994 0 0 False 1 -1 3 39726 9b2e True
7010 4408 0 0 False 1 -1 2 8532 2154 True
7036 5380 0 0 False 1 -1 2 25954 6562 True
7062 726 0 0 False 1 -1 0 55984 dab0 True
7088 7682 0 0 False 1 -1 3 771 0303 True
7114 1465 0 0 False 1 -1 0 43521 aa01 True
7140 3006 0 0 False 1 -1 1 25186 6262 True
7166 2030 0 0 False 1 -1 1 21886 557e True
7192 4825 0 0 False 1 -1 2 16977 4251 True
7218 487 0 0 False 1 -1 0 31757 7c0d True
7244 2912 0 0 False 1 -1 1 22393 5779 True
7270 2667 0 0 False 1 -1 1 44184 ac98 True
7296 4108 0 0 False 1 -1 2 58820 e5c4 True
7322 393 0 0 False 1 -1 0 26641 6811 True
7348 3762 0 0 False 1 -1 1 11168 2ba0 True
7374 7300 0 0 False 1 -1 3 54970 d6ba True
7400 3519 0 0 False 1 -1 1 64936 fda8 True
7426 988 0 0 False 1 -1 0 30287 764f True
7452 7185 0 0 False 1 -1 3 51958 caf6 True
7478 6715 0 0 False 1 -1 3 24820 60f4 True
7504 656 0 0 False 1 -1 0 62558 f45e True
7530 4261 0 0 False 1 -1 2 54178 d3a2 True
7556 2129 0 0 False 1 -1 1 37400 9218 True
7582 7366 0 0 False 1 -1 3 56678 dd66 True
7608 3452 0 0 False 1 -1 1 61888 f1c0 True
7634 6169 0 0 False 1 -1 3 26671 682f True
7660 6678 0 0 False 1 -1 3 14466 3882 True
7686 7344 0 0 False 1 -1 3 1519 05ef True
7712 3758 0 0 False 1 -1 1 41478 a206 True
7738 5830 0 0 False 1 -1 2 32316 7e3c True
